Hour,Demand,Reserves
925,17378,1395
926,17358,1360
927,17232,1703
928,17080,1601
929,17087,1483
930,17311,1643
931,18236,1081
932,18199,1087
933,17948,1282
934,17520,1499
935,16885,1492
936,16147,1367
937,15561,1221
938,15359,1090
939,15364,1184
940,15573,1400
941,15980,882
942,16714,1316
943,17865,1002
944,18978,1673
945,20253,1858
946,20680,1554
947,20288,1062
948,19560,1726
949,18708,1211
950,18014,1461
951,17489,1639
952,17292,1678
953,17687,968
954,18650,1222
955,20306,1421
956,20872,1302
957,21118,1228
958,21012,1473
959,20622,1070
960,20027,1108
961,19730,1771
962,19573,1609
963,19668,1167
964,19902,1748
965,20280,1182
966,20844,1295
967,21703,1372
968,22571,1292
969,23111,1229
970,22746,1716
971,21819,1471
972,20894,1434
973,20481,1467
974,20203,1237
975,19898,1430
976,19923,1101
977,20350,1586
978,21231,1888
979,22211,1839
980,22173,2154
981,21733,1601
982,20899,1110
983,19714,1401
984,18709,1342
985,18082,1501
986,17760,1521
987,17695,1152
988,17810,1164
989,18354,1379
990,19800,1313
991,22057,1198
992,22867,1856
993,22804,1211
994,22548,2127
995,22174,1835
996,21580,1736
997,20977,1093
998,20595,1255
999,20244,1525
1000,20059,1524
1001,20398,1020
1002,21185,1686
1003,21975,1367
1004,21740,1262
1005,21125,2100
1006,20127,1579
1007,18790,1230
1008,17526,940
1009,16900,1451
1010,16546,1647
1011,16387,914
1012,16498,1237
1013,17035,980
1014,18454,1301
1015,20709,1273
1016,21595,1748
1017,21469,1919
1018,21379,2088
1019,21224,1732
1020,20885,1738
1021,20480,2041
1022,20243,1444
1023,19972,1409
1024,19900,1265
1025,20165,1840
1026,20810,1579
1027,21751,1861
1028,21598,1511
1029,20949,1137
1030,19970,1293
1031,18618,1428
1032,17395,1729
1033,16664,1578
1034,16326,1245
1035,16296,1349
1036,16569,1027
1037,17281,1090
1038,18991,1635
1039,21682,1207
1040,22784,1755
1041,22128,2170
1042,21116,1327
1043,20221,1917
1044,19441,1098
1045,18746,1861
1046,18311,1261
1047,17864,1741
1048,17603,1619
1049,18032,1654
1050,18972,1097
1051,20831,1091
1052,21473,1705
1053,21607,1523
1054,21237,1171
1055,20377,1821
1056,19448,1726
1057,19134,1461
1058,19185,1329
1059,19470,1516
1060,19918,1424
1061,20887,1089
1062,22693,2193
1063,25485,2349
1064,26370,1819
1065,24767,1917
1066,22320,1706
1067,20343,1849
1068,19004,1802
1069,18144,1645
1070,17767,1163
1071,17520,1097
1072,17491,1157
1073,17742,1382
1074,18509,1329
1075,19882,1406
1076,20003,1786
1077,19749,1055
1078,19017,1294
1079,17946,1678
1080,16863,1234
1081,16117,842
1082,15748,1167
1083,15670,973
1084,15746,1030
1085,16180,819
1086,17484,913
1087,19615,1748
1088,20332,1875
1089,19863,1292
1090,19288,1592
1091,18683,1187
1092,17895,1068
1093,17356,954
1094,17084,1503
1095,16879,1654
1096,16843,1436
1097,16961,1531
1098,17376,1657
1099,18256,1208
1100,17978,1209
1101,17691,952
1102,17056,1138
1103,16166,925
1104,15223,1505
1105,14427,1181
1106,13914,1379
1107,13686,732
1108,13609,1329
1109,13760,1041
1110,14186,713
1111,14923,914
1112,15869,800
1113,16866,928
1114,17703,935
1115,18222,1673
1116,18358,1398
1117,18262,1014
1118,18145,1109
1119,18087,1448
1120,18164,967
1121,18484,1746
1122,19099,1158
1123,20074,1014
1124,20088,1892
1125,19862,1180
1126,19433,1494
1127,18785,1700
1128,18081,1348
1129,17532,1304
1130,17265,1143
1131,17193,1311
1132,17298,1221
1133,17539,1435
1134,18057,1091
1135,18827,1262
1136,19758,1727
1137,20789,1703
1138,21209,1329
1139,21142,1333
1140,21019,1239
1141,21070,1236
1142,21051,1422
1143,20995,1344
1144,20963,1784
1145,21252,1602
1146,21852,1710
1147,22494,1342
1148,22328,1290
1149,21905,1659
