UNIT,UNIT_NAME,CC_KEY,UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,ColdStart_Hours,ColdStartU_HeatRate,ColdStartU_FixedCost,WarmStart_Hours,WarmStartU_HeatRate,WarmStartU_FixedCost,HotStart_Hours,HotStartU_HeatRate,HotStartU_FixedCost,ShutdownCost,NoLoadHR,MinPowerOut,MaxPowerOut,IHRC_B1_Q,IHRC_B1_HR,IHRC_B2_Q,IHRC_B2_HR,IHRC_B3_Q,IHRC_B3_HR,IHRC_B4_Q,IHRC_B4_HR,IHRC_B5_Q,IHRC_B5_HR,IHRC_B6_Q,IHRC_B6_HR,IHRC_B7_Q,IHRC_B7_HR,SpinningRes_Limit,RegDownRes_Limit,RegUpRes_Limit,NonSpinningRes_Limit,BalancingRes_Limit,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,MinUpTime,MinDownTime,UpTimeInit,DownTimeInit,FastStart,Nuclear,NaturalGasFired,PowerInit,StatusInit
38,LCCP_CC01,1,LCCP_CC01_1,PEC,Combined-Cycle,72,2700,0,32,2700,0,8,2700,0,8172,295.353458,268,324,135,6.35065,135,6.353,20,6.35565,20,6.35685,21,6.3583,20,6.3599,70,6.3645,47,30,30,0,47,300,300,300,300,72,12,0,500,0,0,0,0,0
39,LCCP_CC01,2,LCCP_CC01_2,PEC,Combined-Cycle,72,1513,0,32,1513,0,8,1513,0,6129,301.5114197,60,341,165,6.22215,165,6.3063,94,6.4743,93,6.7138,93,7.06685,94,7.5604,141,8.4419,275,50,50,0,275,300,300,300,300,54,2,0,500,0,0,0,0,0
40,LCCP_CC01,3,LCCP_CC01_3,PEC,Combined-Cycle,72,1513,0,32,1513,0,8,1513,0,6129,139.4961185,60,395,195,6.76115,195,6.7742,167,6.81055,167,6.8809,256,7.04975,0.1,7.84845,290.9,8.526,300,50,50,0,300,300,300,300,300,54,2,0,500,0,0,0,0,0
41,LEEC_CT07,0,LEEC_CT07_0,DEC,Peaker,72,28,2422,32,28,2422,8,28,2422,0,106.666,48,48,20,7.10295,21,8.2829,2,9.50715,1,9.7856,2,10.09085,2,10.52585,10,12.1998,0,0,0,48,0,48,48,48,48,1,2,0,500,1,0,1,0,0
42,LEEC_CT08,0,LEEC_CT08_0,DEC,Peaker,72,28,2422,32,28,2422,8,28,2422,0,106.666,48,48,20,7.10295,21,8.2829,2,9.50715,1,9.7856,2,10.09085,2,10.52585,10,12.1998,0,0,0,48,0,48,48,48,48,1,2,0,500,1,0,1,0,0
43,LEES_CC01,1,LEES_CC01_1,DEC,Combined-Cycle,72,1935,0,32,1935,0,8,1935,0,9558,282.73,177,391,100,6.2884,100,6.2884,49,6.2884,49,6.2884,48,6.2884,0.1,6.6609,128.9,7.0334,183,40,40,0,183,240,240,240,240,14,6,0,500,0,0,1,0,0
44,LEES_CC01,2,LEES_CC01_2,DEC,Combined-Cycle,72,1130,0,32,1130,0,8,1130,0,7820,1316.992554,177,391,200,4.4092,200,4.5749,98,4.874,98,5.25655,115,5.8675,0.1,6.275,237.9,6.3,183,40,40,0,183,240,240,240,240,8,4,0,500,0,0,1,0,0
45,LEES_UN03,0,LEES_UN03_0,DEC,Steam,144,2710,0,76,2540,0,8,2110,0,43000,134.9094288,45,173,22,9.46495,23,9.46505,32,9.46555,32,9.4669,32,9.46945,32,9.47375,35,9.4806,128,25,25,0,128,150,150,150,150,64,32,0,500,0,0,1,0,0
46,LINC_CT01,0,LINC_CT01_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
47,LINC_CT02,0,LINC_CT02_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,99,99,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,99,0,99,99,99,99,1,1,0,500,1,0,1,0,0
