Hour,StorageUniID,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
21.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,170.36684529594407,147.53768802628758,0.0
21.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
21.0,5.0,170.0,2048.1927710843374,1.0,0.0,0.0,0.0,0.0,66.08606718099739,0.0,0.0
21.0,6.0,7.0,7.0,1.0,0.0,0.0,7.279029462738301,0.0,6.696707105719239,0.0,0.27902946273830054
21.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,207.85219399538107,180.0,0.0
21.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,7.0411091854419405,0.0,0.0,0.0
21.0,9.0,190.0,2289.156626506024,1.0,0.0,0.0,0.0,0.0,105.0083040251834,0.0,0.0
21.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
22.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,46.39388268182489,40.17710240246036,0.0
22.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,170.36684529594407,147.53768802628758,0.0
22.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
22.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,57.230534178743746,0.0,0.0,0.0
22.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,6.1609705372617,0.0,0.0,0.0
22.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,207.85219399538107,167.2993910854433,0.0
22.0,8.0,8.0,8.0,1.0,0.0,0.0,8.318890814558058,0.0,7.6533795493934145,0.0,0.3188908145580589
22.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,105.0083040251834,90.93719128580882,0.0
22.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
23.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,40.17710240246036,0.0,0.0,0.0
23.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,170.36684529594407,147.5376880262876,0.0
23.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.5200000000000005,0.0
23.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,207.85219399538107,180.00000000000003,0.0
23.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,7.6533795493934145,7.041109185441941,0.0
23.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,90.93719128580884,0.0,0.0,0.0
23.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,8.280000000000001,0.0,0.0,0.0
24.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,147.53768802628758,0.0,0.0,0.0
24.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,5.5200000000000005,0.0,0.0,0.0
24.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,180.00000000000003,0.0,0.0,0.0
24.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,7.0411091854419405,0.0,0.0,0.0
24.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
