BEGIN_DATE,PORTFOLIO_NAME,MW
1/16/2019 6:00:00 PM,PEC,8066
1/16/2019 7:00:00 AM,PEC,8241
1/16/2019 7:00:00 AM,DEC,12611
1/16/2019 7:00:00 PM,DEC,11624
1/16/2019 7:00:00 PM,PEC,8004
1/16/2019 8:00:00 AM,DEC,12725
1/16/2019 8:00:00 AM,PEC,8518
1/16/2019 8:00:00 PM,DEC,11555
1/16/2019 8:00:00 PM,PEC,7888
1/16/2019 9:00:00 AM,DEC,12985
1/16/2019 9:00:00 AM,PEC,8903
1/16/2019 9:00:00 PM,DEC,11792
1/16/2019 9:00:00 PM,PEC,7780
1/17/2019 10:00:00 AM,DEC,13393
1/17/2019 10:00:00 AM,PEC,8542
1/17/2019 10:00:00 PM,DEC,12569
1/17/2019 10:00:00 PM,PEC,7810
1/17/2019 11:00:00 AM,PEC,9818
1/17/2019 11:00:00 AM,DEC,14160
1/17/2019 11:00:00 PM,DEC,12777
1/17/2019 11:00:00 PM,PEC,7972
1/17/2019 12:00:00 AM,DEC,13083
1/17/2019 12:00:00 AM,PEC,8333
1/17/2019 12:00:00 PM,DEC,14092
1/17/2019 12:00:00 PM,PEC,10459
1/17/2019 1:00:00 AM,DEC,13165
1/17/2019 1:00:00 AM,PEC,8464
1/17/2019 1:00:00 PM,DEC,13118
1/17/2019 1:00:00 PM,PEC,10630
1/17/2019 2:00:00 AM,DEC,13100
1/17/2019 2:00:00 AM,PEC,8358
1/17/2019 2:00:00 PM,DEC,12693
1/17/2019 2:00:00 PM,PEC,10021
1/17/2019 3:00:00 AM,PEC,7908
1/17/2019 3:00:00 AM,DEC,12853
1/17/2019 3:00:00 PM,PEC,9913
1/17/2019 3:00:00 PM,DEC,12394
1/17/2019 4:00:00 AM,DEC,12601
1/17/2019 4:00:00 AM,PEC,7700
1/17/2019 4:00:00 PM,DEC,12324
1/17/2019 4:00:00 PM,PEC,9249
1/17/2019 5:00:00 AM,DEC,12389
1/17/2019 5:00:00 AM,PEC,7664
1/17/2019 5:00:00 PM,DEC,12429
1/17/2019 5:00:00 PM,PEC,8707
1/17/2019 6:00:00 AM,DEC,12329
1/17/2019 6:00:00 AM,PEC,7566
1/17/2019 6:00:00 PM,DEC,12548
1/17/2019 6:00:00 PM,PEC,8784
1/17/2019 7:00:00 AM,DEC,12421
1/17/2019 7:00:00 AM,PEC,7578
1/17/2019 7:00:00 PM,PEC,8730
1/17/2019 7:00:00 PM,DEC,12358
1/17/2019 8:00:00 AM,DEC,12620
1/17/2019 8:00:00 AM,PEC,7763
1/17/2019 8:00:00 PM,DEC,12441
1/17/2019 8:00:00 PM,PEC,8242
1/17/2019 9:00:00 AM,DEC,12995
1/17/2019 9:00:00 AM,PEC,8004
1/17/2019 9:00:00 PM,PEC,7854
1/17/2019 9:00:00 PM,DEC,12447
1/18/2019 10:00:00 AM,DEC,11684
1/18/2019 10:00:00 AM,PEC,7508
1/18/2019 10:00:00 PM,DEC,11747
1/18/2019 10:00:00 PM,PEC,7477
1/18/2019 11:00:00 AM,DEC,12609
1/18/2019 11:00:00 AM,PEC,7949
1/18/2019 11:00:00 PM,DEC,12037
1/18/2019 11:00:00 PM,PEC,7737
1/18/2019 12:00:00 AM,PEC,7956
1/18/2019 12:00:00 AM,DEC,12858
1/18/2019 12:00:00 PM,DEC,12770
